Clone Overlap for Change version-705, eiffel.c, a, 444, 444: 1 (CloneClass: 129)
Clone Overlap for Change version-705, eiffel.c, c, 446, 448: 1 (CloneClass: 129)
Clone Overlap for Change version-705, eiffel.c, c, 565, 569: 1 (CloneClass: 133)
Clone Overlap for Change version-705, eiffel.c, c, 571, 573: 1 (CloneClass: 133)
Clone Overlap for Change version-705, eiffel.c, c, 584, 587: 2 (CloneClass: 56, 86)
Clone Overlap for Change version-705, eiffel.c, c, 722, 724: 1 (CloneClass: 39)
Clone Overlap for Change version-705, eiffel.c, d, 806, 819: 2 (CloneClass: 55, 97)
Clone Overlap for Change version-710, asp.c, a, 51, 51: 2 (CloneClass: 35)
Clone Overlap for Change version-710, asp.c, a, 84, 84: 2 (CloneClass: 38)
Clone Overlap for Change version-730, flex.c, c, 1060, 1060: 2 (CloneClass: 51, 96)
Clone Overlap for Change version-736, sql.c, c, 680, 680: 1 (CloneClass: 86)
Clone Overlap for Change version-736, sql.c, c, 711, 711: 1 (CloneClass: 136)
Clone Overlap for Change version-737, python.c, c, 131, 131: 1 (CloneClass: 126)
Clone Overlap for Change version-739, sql.c, c, 685, 685: 1 (CloneClass: 123)
Clone Overlap for Change version-739, sql.c, c, 689, 689: 1 (CloneClass: 123)
Clone Overlap for Change version-739, sql.c, c, 692, 692: 1 (CloneClass: 94)
Clone Overlap for Change version-739, sql.c, a, 739, 739: 1 (CloneClass: 94)
Clone Overlap for Change version-739, sql.c, c, 752, 752: 1 (CloneClass: 94)
Clone Overlap for Change version-740, sql.c, c, 695, 695: 1 (CloneClass: 120)
Clone Overlap for Change version-740, sql.c, c, 700, 702: 1 (CloneClass: 93)
Clone Overlap for Change version-741, sql.c, a, 1046, 1046: 1 (CloneClass: 14)
Clone Overlap for Change version-744, sql.c, a, 546, 546: 1 (CloneClass: 103)
Clone Overlap for Change version-754, flex.c, c, 340, 340: 1 (CloneClass: 72)
Clone Overlap for Change version-754, flex.c, c, 344, 344: 1 (CloneClass: 72)
Clone Overlap for Change version-754, flex.c, c, 381, 381: 1 (CloneClass: 4)
Clone Overlap for Change version-754, flex.c, c, 383, 383: 1 (CloneClass: 72)
Clone Overlap for Change version-754, flex.c, c, 388, 388: 1 (CloneClass: 72)
