Clone Overlap for Change version-535, sql.c, c, 305, 307: 1 (CloneClass: 58)
Clone Overlap for Change version-535, sql.c, c, 309, 309: 1 (CloneClass: 58)
Clone Overlap for Change version-544, c.c, a, 1820, 1820: 1 (CloneClass: 69)
Clone Overlap for Change version-548, vstring.c, a, 35, 35: 1 (CloneClass: 48)
Clone Overlap for Change version-578, basic.c, c, 110, 119: 1 (CloneClass: 26)
Clone Overlap for Change version-578, basic.c, c, 123, 139: 3 (CloneClass: 26)
Clone Overlap for Change version-585, jscript.c, a, 118, 118: 1 (CloneClass: 26)
Clone Overlap for Change version-585, jscript.c, c, 125, 125: 2 (CloneClass: 20)
Clone Overlap for Change version-585, jscript.c, c, 136, 136: 2 (CloneClass: 14)
Clone Overlap for Change version-585, jscript.c, a, 146, 146: 1 (CloneClass: 69)
Clone Overlap for Change version-585, jscript.c, c, 149, 149: 1 (CloneClass: 69)
Clone Overlap for Change version-585, jscript.c, a, 150, 150: 1 (CloneClass: 69)
Clone Overlap for Change version-585, jscript.c, c, 153, 153: 1 (CloneClass: 69)
Clone Overlap for Change version-585, jscript.c, a, 269, 269: 2 (CloneClass: 7)
Clone Overlap for Change version-585, jscript.c, a, 284, 284: 2 (CloneClass: 32, 41)
Clone Overlap for Change version-585, jscript.c, c, 428, 431: 1 (CloneClass: 59)
Clone Overlap for Change version-585, jscript.c, c, 462, 462: 1 (CloneClass: 38)
Clone Overlap for Change version-585, jscript.c, c, 473, 473: 2 (CloneClass: 25, 58)
Clone Overlap for Change version-585, jscript.c, c, 478, 478: 2 (CloneClass: 25, 58)
Clone Overlap for Change version-585, jscript.c, c, 483, 483: 2 (CloneClass: 57, 82)
Clone Overlap for Change version-585, jscript.c, d, 486, 489: 1 (CloneClass: 57)
Clone Overlap for Change version-585, jscript.c, a, 509, 509: 2 (CloneClass: 5, 8)
Clone Overlap for Change version-605, c.c, d, 1605, 1605: 1 (CloneClass: 66)
